Application Ref,DB Record ID,Citizen Full Name,Contact Phone,Contact Email,Service Scheme Title,Fee Paid (INR),Payment Status,Verification Status,Submission Date,Assigned Officer,Rejection Reason,Refund Status
"CSB2026750099","6aa2e3dbe808b3c11946bf5b","Aathiff","+919494854174","kratos5@gmail.com","Aadhaar Services",59,"Success","APPROVED","10/9/2026, 10:37:39 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026655013","6aa2e3c8e808b3c11946bf5a","Aathiff","+919494854174","kratos5@gmail.com","Aadhaar Services",59,"Success","SUBMITTED","10/9/2026, 10:37:19 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026743035","6aa2e3c7e808b3c11946bf59","Aathiff","+919494854174","kratos5@gmail.com","Aadhaar Services",59,"Success","SUBMITTED","10/9/2026, 10:37:19 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026415248","6aa2e3c7e808b3c11946bf58","Aathiff","+919494854174","kratos5@gmail.com","Aadhaar Services",59,"Success","SUBMITTED","10/9/2026, 10:37:19 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026551685","6aa2dcc78a1c5105d1f36f9d","Aathiff","+919494854174","kratos5@gmail.com","Cyber Security Audit Certificate",295,"Success","SUBMITTED","10/9/2026, 10:07:27 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026397197","6aa2938c57623135c7f1263b","Anita Verma","+91 99887 11223","anita.verma@example.com","Commercial Trade License",120,"Success","REJECTED","10/9/2026, 4:55:00 pm","Principal Verification Officer (SDM)","Incomplete Address Proof: Shop rent agreement is expired (dated 2022). Please upload a valid renewed lease agreement and NOC from fire department.","NONE"
"CSB2026799372","6aa2938457623135c7f12637","Rajesh Kumar Patel","+91 98765 99887","rajesh.k@example.com","PM-KISAN Samman Nidhi Scheme",50,"Success","APPROVED","10/9/2026, 4:54:52 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026607690","6aa28be0b1083a46b621bca1","Sunita Devi","+91 98111 22334","citizen_test_live@cybersave.app","Senior Citizen Pension Scheme",65,"Success","SUBMITTED","10/9/2026, 4:22:16 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026739395","6aa288042f00ab8846607840","Priya Sharma","+91 98765 12345","priya.sharma@example.com","Income Certificate",30,"Success","SUBMITTED","10/9/2026, 4:05:48 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026998811","6aa246feeb245b45c9c1889d","Sami","-","samishaik093@gmail.com","Aadhaar Services",236,"Success","APPROVED","10/9/2026, 4:00:00 pm","Officer Sharma (SDM)","","NONE"
"CSB2026596371","6aa25e619fdeeb1cf55b8276","Vikramaditya Test","+91 99887 76655","vikram.test@example.com","Ayushman Bharat Golden Card",50,"Success","APPROVED","10/9/2026, 1:08:09 pm","Principal Verification Officer (SDM)","","NONE"
"CSB2026132323","6aa169d95bb9e9cc12436813","Aathiff","+919494854174","kratos5@gmail.com","Aadhaar Address Update",59,"Success","APPROVED","9/9/2026, 7:44:49 pm","Officer Sharma (SDM)","","NONE"
"CSB2026572215","6aa152f12dcd70382dc2c99d","Aathiff","+919494854174","kratos5@gmail.com","Conistable",227,"Success","APPROVED","9/9/2026, 6:07:05 pm","Officer Sharma (SDM)","","NONE"
"CSB2026703611","6aa142ae6fe76a1088b5e975","Aathiff","+919494854174","kratos5@gmail.com","Apply New PAN Card (Form 49A)",59,"Success","APPROVED","9/9/2026, 4:57:42 pm","Officer Sharma (SDM)","","NONE"
"CSB2026308274","6a9e99a0b6a72d26f69b9cb1","Aathiff","+919494854174","kratos5@gmail.com","Railway jobs",236,"Success","REJECTED","7/9/2026, 4:31:52 pm","Officer Sharma (SDM)","Documents could not be verified by the administrative officer.","REJECTED"
"CSB2026799578","6a9e78b28062635c90659225","Aathiff","+919494854174","kratos5@gmail.com","Conistable",227,"Refunded","SUBMITTED","7/9/2026, 2:11:22 pm","Officer Sharma (SDM)","","APPROVED"
"CSB2026616387","6a99198c64d22d2d67f8c93a","Aathiff","+919494854174","kratos5@gmail.com","Railway jobs",236,"Success","REJECTED","3/9/2026, 12:24:04 pm","Officer Sharma (SDM)","Documents could not be verified by the administrative officer.","NONE"
"CSB2026383381","6a8ee5aa7e247fd67382ba02","Principal Verification Officer","+91 8309627631","officer.admin@cybersave.gov.in","Citizen Identity Verification",146,"Success","SUBMITTED","26/8/2026, 6:40:02 pm","Rajesh Kumar (Senior Field Officer)","","NONE"
"CSB2026917588","6a8ee29459f22d097d3d7aab","Aathiff","+919494854174","kratos5@gmail.com","Conistable",55,"Success","APPROVED","26/8/2026, 6:26:52 pm","Officer Sharma (SDM)","","NONE"
"CSB2026628021","6a871d3e6dc20e3b061c79a7","Aathiff","+919494854174","kratos5@gmail.com","PAN Status",55,"Success","REJECTED","20/8/2026, 8:59:02 pm","Officer Sharma (SDM)","Documents could not be verified by the administrative officer.","NONE"
"CSB2026591198","6a86d8dd83804cec9f6faf5c","Samí","+918500919291","abdul7fyuic45crx33ssr5fzxxxxx5g5g6h7@gmail.com","Caste Certificate",55,"Success","SUBMITTED","20/8/2026, 4:07:17 pm","Officer Sharma (SDM)","","NONE"
"CSB2026107087","6a86b4c0cf1bc7362f49bc8a","Samí","+918500919291","abdul7fyuic45crx33ssr5fzxxxxx5g5g6h7@gmail.com","Update Address",55,"Success","SUBMITTED","20/8/2026, 1:33:12 pm","Officer Sharma (SDM)","","NONE"
"CSB2026895126","6a85680f056495478829f321","Samí","+918500919291","abdul7fyuic45crx33ssr5fzxxxxx5g5g6h7@gmail.com","Governament teacher job",55,"Success","APPROVED","19/8/2026, 1:53:43 pm","Officer Sharma (SDM)","","NONE"
"CSB2026883344","6a849c0dc3c6fb96d5b41eb9","Principal Verification Officer","+91 8309627631","officer.admin@cybersave.gov.in","Aadhaar Services",55,"Success","REJECTED","18/8/2026, 11:23:17 pm","Officer Sharma (SDM)","Aadhaar copy signature mismatch.","NONE"
